cash_type,money,coffee_name,Date,Time
card,38.7,Hot Chocolate,3/15/2024,53:02.2
card,28.9,Americano,3/15/2024,19:27.9
card,33.8,Americano with Milk,3/16/2024,06:55.2
card,28.9,Americano,3/16/2024,07:53.9
card,28.9,Cortado,3/16/2024,58:18.5
card,28.9,Cortado,3/16/2024,03:21.7
card,28.9,Cortado,3/16/2024,04:11.4
card,33.8,Americano with Milk,3/16/2024,58:07.2
card,28.9,Cortado,3/17/2024,55:26.1
card,28.9,Cortado,3/18/2024,17:59.7
card,28.9,Americano,3/18/2024,31:39.7
card,28.9,Americano,3/18/2024,32:38.2
card,28.9,Americano,3/18/2024,33:36.7
card,38.7,Latte,3/19/2024,02:21.5
card,38.7,Latte,3/19/2024,03:19.8
card,38.7,Hot Chocolate,3/19/2024,04:36.3
card,33.8,Americano with Milk,3/19/2024,53:48.7
card,28.9,Cortado,3/20/2024,41:16.4
card,28.9,Cortado,3/20/2024,30:49.0
card,38.7,Cappuccino,3/20/2024,16:47.4
card,38.7,Cocoa,3/20/2024,42:38.1
card,38.7,Latte,3/20/2024,50:28.8
card,28.9,Cortado,3/21/2024,25:09.2
card,38.7,Cappuccino,3/21/2024,26:17.4
card,28.9,Cortado,3/21/2024,22:01.4
card,38.7,Latte,3/21/2024,20:36.5
card,33.8,Americano with Milk,3/22/2024,35:53.6
card,33.8,Americano with Milk,3/22/2024,29:20.3
card,28.9,Americano,3/22/2024,17:03.7
card,24,Espresso,3/22/2024,17:59.0
card,28.9,Americano,3/22/2024,20:49.5
card,38.7,Latte,3/23/2024,43:59.6
card,33.8,Americano with Milk,3/23/2024,45:07.2
card,38.7,Cappuccino,3/23/2024,10:07.7
card,38.7,Cocoa,3/23/2024,11:12.2
card,33.8,Americano with Milk,3/23/2024,44:41.3
card,38.7,Latte,3/23/2024,47:19.1
card,33.8,Americano with Milk,3/23/2024,49:33.8
card,28.9,Cortado,3/23/2024,00:58.4
card,38.7,Latte,3/24/2024,45:08.4
card,38.7,Latte,3/25/2024,31:47.2
card,38.7,Latte,3/25/2024,27:09.2
card,38.7,Latte,3/25/2024,29:25.3
card,33.8,Americano with Milk,3/25/2024,37:30.6
card,38.7,Cappuccino,3/25/2024,34:24.5
card,38.7,Cocoa,3/26/2024,35:49.7
card,38.7,Latte,3/26/2024,36:36.2
card,38.7,Latte,3/26/2024,42:30.2
card,28.9,Cortado,3/26/2024,11:47.3
card,28.9,Americano,3/26/2024,35:52.8
card,28.9,Cortado,3/26/2024,36:49.6
card,28.9,Cortado,3/26/2024,37:59.7
card,28.9,Americano,3/26/2024,57:53.7
card,38.7,Latte,3/26/2024,48:02.3
card,38.7,Latte,3/26/2024,33:38.6
card,38.7,Hot Chocolate,3/26/2024,34:54.6
card,28.9,Cortado,3/27/2024,04:51.2
card,33.8,Americano with Milk,3/27/2024,05:58.2
card,33.8,Americano with Milk,3/27/2024,57:00.5
card,38.7,Hot Chocolate,3/27/2024,35:20.0
card,38.7,Cappuccino,3/27/2024,22:31.7
card,28.9,Americano,3/27/2024,23:35.4
card,28.9,Cortado,3/27/2024,30:11.8
card,28.9,Cortado,3/28/2024,24:47.1
card,28.9,Cortado,3/28/2024,24:46.2
card,28.9,Americano,3/28/2024,27:05.3
card,38.7,Latte,3/28/2024,32:44.7
card,38.7,Latte,3/29/2024,56:19.5
card,38.7,Cappuccino,3/29/2024,34:17.4
card,38.7,Cappuccino,3/29/2024,41:32.1
card,38.7,Latte,3/30/2024,59:19.9
card,38.7,Latte,3/30/2024,12:31.8
card,38.7,Latte,3/30/2024,36:40.5
card,33.8,Americano with Milk,3/30/2024,37:57.6
card,38.7,Cappuccino,3/31/2024,40:04.5
card,28.9,Americano,4/1/2024,28:47.6
card,33.8,Americano with Milk,4/1/2024,29:42.3
card,33.8,Americano with Milk,4/1/2024,30:43.7
card,33.8,Americano with Milk,4/1/2024,15:43.8
card,33.8,Americano with Milk,4/1/2024,18:42.4
card,38.7,Hot Chocolate,4/1/2024,45:27.4
card,38.7,Latte,4/2/2024,01:14.0
card,28.9,Americano,4/2/2024,18:34.2
card,28.9,Cortado,4/2/2024,19:28.5
card,28.9,Cortado,4/3/2024,19:13.6
card,28.9,Americano,4/3/2024,20:07.7
card,38.7,Cappuccino,4/3/2024,12:05.4
card,38.7,Latte,4/4/2024,44:56.0
card,38.7,Latte,4/4/2024,26:38.1
card,38.7,Cappuccino,4/4/2024,27:48.4
card,28.9,Cortado,4/4/2024,23:02.2
card,28.9,Americano,4/5/2024,40:42.7
card,28.9,Americano,4/5/2024,42:06.2
card,28.9,Cortado,4/5/2024,06:14.6
card,33.8,Americano with Milk,4/5/2024,14:28.0
card,38.7,Latte,4/5/2024,23:40.4
card,28.9,Cortado,4/5/2024,24:50.4
card,24,Espresso,4/5/2024,18:23.6
card,33.8,Americano with Milk,4/6/2024,32:31.4
card,38.7,Cappuccino,4/6/2024,13:18.7
card,28.9,Americano,4/6/2024,14:27.0
card,38.7,Latte,4/6/2024,49:50.2
card,38.7,Latte,4/7/2024,12:53.2
card,38.7,Cappuccino,4/7/2024,44:31.9
card,38.7,Cappuccino,4/7/2024,46:05.1
card,28.9,Cortado,4/7/2024,16:24.9
card,24,Espresso,4/7/2024,17:30.6
card,38.7,Hot Chocolate,4/7/2024,01:16.6
card,33.8,Americano with Milk,4/7/2024,02:03.9
card,33.8,Americano with Milk,4/8/2024,58:21.1
card,38.7,Cappuccino,4/8/2024,59:27.6
card,28.9,Americano,4/8/2024,01:20.5
card,38.7,Cappuccino,4/8/2024,04:47.0
card,38.7,Latte,4/8/2024,41:37.8
card,28.9,Americano,4/8/2024,18:09.7
card,33.8,Americano with Milk,4/8/2024,22:27.5
card,38.7,Cappuccino,4/8/2024,23:59.3
card,38.7,Latte,4/9/2024,42:28.5
card,38.7,Hot Chocolate,4/9/2024,11:48.7
card,38.7,Hot Chocolate,4/9/2024,25:23.9
card,24,Espresso,4/10/2024,55:31.2
card,38.7,Cappuccino,4/10/2024,24:59.3
card,38.7,Latte,4/10/2024,04:05.4
card,28.9,Americano,4/11/2024,41:23.2
card,28.9,Americano,4/11/2024,42:59.4
card,38.7,Latte,4/11/2024,35:23.1
card,38.7,Cappuccino,4/11/2024,16:56.6
card,33.8,Americano with Milk,4/11/2024,18:36.6
card,38.7,Hot Chocolate,4/12/2024,03:43.4
card,28.9,Cortado,4/12/2024,38:23.2
card,38.7,Latte,4/13/2024,29:19.8
card,28.9,Americano,4/13/2024,43:02.4
card,38.7,Cappuccino,4/13/2024,18:03.9
card,38.7,Latte,4/13/2024,19:39.8
card,38.7,Cappuccino,4/13/2024,51:26.0
card,38.7,Cappuccino,4/13/2024,53:19.2
card,38.7,Cappuccino,4/14/2024,24:39.0
card,28.9,Cortado,4/14/2024,21:49.8
card,28.9,Americano,4/14/2024,23:31.6
card,28.9,Americano,4/14/2024,24:26.9
card,28.9,Americano,4/14/2024,25:18.1
card,38.7,Cappuccino,4/14/2024,46:27.7
card,28.9,Cortado,4/14/2024,59:54.8
card,38.7,Latte,4/14/2024,00:45.4
card,38.7,Cappuccino,4/14/2024,38:19.6
card,28.9,Americano,4/15/2024,45:24.6
card,28.9,Americano,4/15/2024,01:46.4
card,33.8,Americano with Milk,4/15/2024,02:49.7
card,33.8,Americano with Milk,4/15/2024,33:03.0
card,33.8,Americano with Milk,4/16/2024,46:25.7
card,38.7,Cocoa,4/16/2024,40:47.7
card,28.9,Cortado,4/16/2024,52:07.8
card,28.9,Americano,4/16/2024,03:16.9
card,33.8,Americano with Milk,4/16/2024,42:04.2
card,38.7,Cappuccino,4/16/2024,43:23.0
card,38.7,Cocoa,4/16/2024,09:05.3
card,28.9,Americano,4/17/2024,32:59.8
card,24,Espresso,4/17/2024,44:00.2
card,38.7,Cappuccino,4/17/2024,01:35.1
card,38.7,Cappuccino,4/17/2024,02:40.7
card,28.9,Cortado,4/17/2024,14:03.2
card,28.9,Americano,4/18/2024,19:01.7
card,28.9,Americano,4/18/2024,20:05.7
card,33.8,Americano with Milk,4/18/2024,49:12.7
card,28.9,Cortado,4/18/2024,50:17.3
card,38.7,Cappuccino,4/18/2024,34:19.8
card,38.7,Latte,4/18/2024,35:49.4
card,38.7,Latte,4/18/2024,44:15.8
card,38.7,Cappuccino,4/18/2024,21:05.9
card,38.7,Hot Chocolate,4/18/2024,39:51.2
card,38.7,Hot Chocolate,4/18/2024,40:49.0
card,38.7,Latte,4/19/2024,10:36.3
card,33.8,Americano with Milk,4/19/2024,11:47.8
card,38.7,Cappuccino,4/19/2024,13:20.9
card,38.7,Hot Chocolate,4/19/2024,58:54.1
card,38.7,Cappuccino,4/19/2024,59:49.7
card,38.7,Cocoa,4/19/2024,23:19.3
card,33.8,Americano with Milk,4/19/2024,25:33.4
card,33.8,Americano with Milk,4/20/2024,08:35.7
card,33.8,Americano with Milk,4/20/2024,09:42.7
card,28.9,Americano,4/20/2024,08:37.4
card,33.8,Americano with Milk,4/20/2024,09:47.9
card,38.7,Hot Chocolate,4/20/2024,10:55.2
card,38.7,Cappuccino,4/20/2024,44:18.1
card,33.8,Americano with Milk,4/20/2024,11:00.3
card,32.82,Americano with Milk,4/20/2024,22:40.7
card,32.82,Americano with Milk,4/20/2024,49:25.1
card,37.72,Cappuccino,4/20/2024,27:41.5
card,37.72,Cappuccino,4/20/2024,28:46.9
card,37.72,Latte,4/20/2024,30:55.3
card,37.72,Latte,4/21/2024,16:45.7
card,27.92,Americano,4/21/2024,15:37.5
card,27.92,Americano,4/22/2024,09:16.4
card,32.82,Americano with Milk,4/22/2024,29:27.1
card,37.72,Latte,4/22/2024,39:04.8
card,37.72,Cappuccino,4/23/2024,22:36.0
card,32.82,Americano with Milk,4/23/2024,23:53.1
card,37.72,Cappuccino,4/23/2024,24:57.5
card,32.82,Americano with Milk,4/23/2024,42:27.8
card,32.82,Americano with Milk,4/23/2024,43:26.2
card,37.72,Latte,4/24/2024,19:38.3
card,32.82,Americano with Milk,4/24/2024,21:27.3
card,32.82,Americano with Milk,4/24/2024,23:46.1
card,32.82,Americano with Milk,4/24/2024,33:26.3
card,32.82,Americano with Milk,4/24/2024,39:09.3
card,32.82,Americano with Milk,4/24/2024,39:07.4
card,32.82,Americano with Milk,4/24/2024,39:50.0
card,37.72,Cappuccino,4/24/2024,40:54.0
card,27.92,Americano,4/25/2024,46:08.1
card,37.72,Latte,4/25/2024,18:27.0
card,27.92,Americano,4/25/2024,09:43.5
card,27.92,Americano,4/25/2024,10:49.2
card,37.72,Latte,4/26/2024,12:50.6
card,37.72,Latte,4/26/2024,01:30.6
card,37.72,Cappuccino,4/26/2024,31:28.3
card,27.92,Americano,4/26/2024,32:35.4
card,27.92,Americano,4/26/2024,33:33.1
card,27.92,Cortado,4/26/2024,23:26.5
card,27.92,Americano,4/26/2024,24:33.8
card,37.72,Hot Chocolate,4/26/2024,32:07.1
card,37.72,Cocoa,4/26/2024,33:30.2
card,37.72,Cappuccino,4/27/2024,27:00.7
card,37.72,Latte,4/28/2024,32:52.5
card,37.72,Cappuccino,4/28/2024,30:09.7
card,27.92,Americano,4/28/2024,27:08.2
card,27.92,Americano,4/28/2024,28:11.4
card,37.72,Latte,4/28/2024,29:02.4
card,27.92,Cortado,4/29/2024,26:31.9
card,27.92,Americano,4/29/2024,27:56.9
card,27.92,Cortado,4/29/2024,28:53.9
card,27.92,Cortado,4/29/2024,53:35.7
card,32.82,Americano with Milk,4/29/2024,54:24.4
card,37.72,Cappuccino,4/29/2024,37:48.4
card,37.72,Cappuccino,4/29/2024,12:33.2
card,37.72,Cappuccino,4/29/2024,13:37.9
card,37.72,Latte,4/30/2024,16:41.5
card,32.82,Americano with Milk,4/30/2024,34:52.2
card,32.82,Americano with Milk,4/30/2024,35:47.6
card,27.92,Americano,4/30/2024,41:52.3
card,32.82,Americano with Milk,4/30/2024,43:00.0
card,37.72,Cappuccino,4/30/2024,19:18.1
card,32.82,Americano with Milk,4/30/2024,30:04.0
card,37.72,Latte,4/30/2024,31:21.0
card,27.92,Americano,5/2/2024,33:55.7
card,32.82,Americano with Milk,5/2/2024,49:39.9
card,37.72,Cappuccino,5/2/2024,36:22.1
card,32.82,Americano with Milk,5/2/2024,41:11.2
card,37.72,Latte,5/2/2024,18:33.1
card,37.72,Cappuccino,5/2/2024,19:56.4
card,37.72,Latte,5/3/2024,30:00.9
card,37.72,Latte,5/3/2024,03:24.9
card,27.92,Americano,5/6/2024,05:17.9
card,37.72,Cappuccino,5/6/2024,06:51.6
card,32.82,Americano with Milk,5/6/2024,08:05.9
card,27.92,Americano,5/6/2024,09:08.0
card,27.92,Cortado,5/6/2024,39:12.6
card,27.92,Cortado,5/6/2024,18:11.0
card,27.92,Americano,5/6/2024,19:00.8
card,37.72,Cappuccino,5/6/2024,18:13.0
card,37.72,Cappuccino,5/6/2024,19:49.5
card,37.72,Cocoa,5/7/2024,44:55.6
card,27.92,Cortado,5/7/2024,21:58.5
card,27.92,Cortado,5/7/2024,23:34.9
card,37.72,Cocoa,5/7/2024,42:07.9
card,27.92,Americano,5/7/2024,55:38.8
card,37.72,Cappuccino,5/7/2024,37:46.4
card,37.72,Latte,5/7/2024,38:48.2
card,37.72,Cappuccino,5/7/2024,12:12.5
card,37.72,Cappuccino,5/7/2024,13:12.2
card,37.72,Latte,5/8/2024,07:28.9
card,37.72,Cappuccino,5/9/2024,54:21.8
card,27.92,Americano,5/9/2024,03:58.6
card,37.72,Latte,5/9/2024,04:57.6
card,37.72,Latte,5/9/2024,06:11.3
card,37.72,Latte,5/9/2024,07:16.4
card,27.92,Americano,5/9/2024,55:14.6
card,27.92,Americano,5/9/2024,56:15.0
card,27.92,Americano,5/9/2024,01:29.9
card,32.82,Americano with Milk,5/9/2024,13:56.2
card,37.72,Latte,5/10/2024,46:21.5
card,37.72,Latte,5/10/2024,47:32.5
card,37.72,Latte,5/11/2024,39:52.9
card,32.82,Americano with Milk,5/11/2024,20:30.4
card,37.72,Cocoa,5/11/2024,21:56.1
card,37.72,Cappuccino,5/11/2024,23:57.3
card,32.82,Americano with Milk,5/11/2024,28:54.1
card,37.72,Cappuccino,5/11/2024,35:40.3
card,37.72,Latte,5/11/2024,38:16.1
card,37.72,Latte,5/12/2024,20:42.5
card,37.72,Latte,5/12/2024,24:03.5
card,27.92,Americano,5/12/2024,27:39.0
card,37.72,Latte,5/12/2024,16:19.8
card,32.82,Americano with Milk,5/12/2024,38:02.4
card,32.82,Americano with Milk,5/12/2024,52:14.9
card,32.82,Americano with Milk,5/12/2024,04:21.1
card,32.82,Americano with Milk,5/12/2024,41:30.6
card,32.82,Americano with Milk,5/13/2024,03:53.3
card,27.92,Americano,5/14/2024,38:14.6
card,27.92,Americano,5/14/2024,39:25.5
card,27.92,Americano,5/14/2024,40:17.5
card,37.72,Cappuccino,5/14/2024,19:23.2
card,37.72,Latte,5/14/2024,32:29.4
card,37.72,Cappuccino,5/14/2024,34:12.9
card,37.72,Cappuccino,5/14/2024,04:54.6
card,32.82,Americano with Milk,5/14/2024,06:00.4
card,27.92,Americano,5/14/2024,01:54.8
card,32.82,Americano with Milk,5/14/2024,57:57.2
card,37.72,Cappuccino,5/14/2024,59:10.2
card,37.72,Hot Chocolate,5/14/2024,51:25.2
card,37.72,Latte,5/15/2024,40:05.7
card,23.02,Espresso,5/15/2024,14:19.4
card,27.92,Americano,5/15/2024,19:10.0
card,27.92,Americano,5/15/2024,34:35.1
card,27.92,Americano,5/15/2024,35:29.2
card,27.92,Americano,5/15/2024,36:27.3
card,32.82,Americano with Milk,5/15/2024,55:29.0
card,27.92,Cortado,5/15/2024,38:52.3
card,27.92,Cortado,5/15/2024,39:44.4
card,23.02,Espresso,5/15/2024,28:58.6
card,37.72,Cappuccino,5/15/2024,20:34.8
card,32.82,Americano with Milk,5/16/2024,38:42.5
card,32.82,Americano with Milk,5/16/2024,39:49.4
card,32.82,Americano with Milk,5/16/2024,14:00.1
card,37.72,Hot Chocolate,5/16/2024,15:16.3
card,37.72,Latte,5/16/2024,44:31.5
card,37.72,Hot Chocolate,5/16/2024,12:56.9
card,37.72,Latte,5/16/2024,13:58.2
card,27.92,Americano,5/17/2024,00:48.5
card,32.82,Americano with Milk,5/17/2024,30:27.6
card,32.82,Americano with Milk,5/17/2024,55:18.5
card,37.72,Cappuccino,5/17/2024,56:46.8
card,37.72,Cappuccino,5/17/2024,37:52.9
card,27.92,Americano,5/17/2024,34:50.8
card,37.72,Latte,5/17/2024,36:33.4
card,37.72,Latte,5/17/2024,37:42.8
card,37.72,Cappuccino,5/18/2024,01:37.9
card,37.72,Cappuccino,5/18/2024,02:40.0
card,32.82,Americano with Milk,5/18/2024,15:56.1
card,32.82,Americano with Milk,5/18/2024,48:29.4
card,32.82,Americano with Milk,5/18/2024,49:27.1
card,32.82,Americano with Milk,5/18/2024,58:44.2
card,37.72,Latte,5/18/2024,22:53.1
card,27.92,Americano,5/19/2024,58:38.3
card,27.92,Americano,5/19/2024,59:33.5
card,37.72,Cappuccino,5/19/2024,00:35.1
card,32.82,Americano with Milk,5/19/2024,14:26.7
card,27.92,Americano,5/19/2024,43:40.0
card,32.82,Americano with Milk,5/19/2024,58:58.2
card,32.82,Americano with Milk,5/19/2024,12:36.3
card,23.02,Espresso,5/19/2024,13:47.8
card,37.72,Hot Chocolate,5/19/2024,16:30.0
card,37.72,Cappuccino,5/19/2024,51:07.0
card,37.72,Cappuccino,5/19/2024,15:41.8
card,37.72,Cappuccino,5/19/2024,18:36.1
card,32.82,Americano with Milk,5/20/2024,05:59.2
card,37.72,Latte,5/20/2024,17:51.9
card,37.72,Latte,5/20/2024,58:48.4
card,27.92,Americano,5/20/2024,15:16.4
card,27.92,Americano,5/20/2024,16:19.6
card,27.92,Americano,5/20/2024,27:13.4
card,27.92,Americano,5/20/2024,28:10.4
card,32.82,Americano with Milk,5/20/2024,13:19.0
card,37.72,Cappuccino,5/20/2024,14:31.4
card,37.72,Latte,5/20/2024,12:51.1
card,37.72,Latte,5/20/2024,13:56.9
card,32.82,Americano with Milk,5/20/2024,36:48.3
card,37.72,Cocoa,5/20/2024,37:57.3
card,27.92,Cortado,5/20/2024,46:52.1
card,32.82,Americano with Milk,5/20/2024,36:54.0
card,32.82,Americano with Milk,5/20/2024,37:57.8
card,37.72,Latte,5/21/2024,27:38.2
card,37.72,Latte,5/21/2024,10:20.0
card,23.02,Espresso,5/21/2024,13:24.0
card,37.72,Cappuccino,5/21/2024,11:09.2
card,37.72,Cappuccino,5/21/2024,13:48.4
card,37.72,Cappuccino,5/22/2024,34:41.8
card,32.82,Americano with Milk,5/22/2024,49:47.0
card,27.92,Cortado,5/22/2024,18:14.3
card,32.82,Americano with Milk,5/22/2024,34:55.0
card,27.92,Americano,5/22/2024,29:50.8
card,27.92,Americano,5/22/2024,30:43.3
card,32.82,Americano with Milk,5/22/2024,00:20.5
card,37.72,Cappuccino,5/22/2024,24:58.1
card,37.72,Cappuccino,5/22/2024,25:58.6
card,37.72,Hot Chocolate,5/22/2024,21:23:53
card,37.72,Cappuccino,5/22/2024,24:49.6
card,37.72,Cappuccino,5/23/2024,10:19.6
card,23.02,Espresso,5/23/2024,22:06.6
card,37.72,Cappuccino,5/23/2024,55:16.6
card,37.72,Cappuccino,5/23/2024,56:27.2
card,37.72,Cappuccino,5/23/2024,18:14.1
card,37.72,Latte,5/23/2024,41:00.0
card,37.72,Cappuccino,5/23/2024,14:33.2
card,37.72,Latte,5/23/2024,15:44.9
card,27.92,Cortado,5/23/2024,03:53.9
card,37.72,Cappuccino,5/23/2024,17:28.4
card,37.72,Cappuccino,5/23/2024,18:26.4
card,37.72,Cappuccino,5/23/2024,42:31.5
card,37.72,Cappuccino,5/23/2024,15:01.4
card,37.72,Latte,5/23/2024,16:24.2
card,32.82,Americano with Milk,5/23/2024,48:10.8
card,27.92,Cortado,5/24/2024,11:59.2
card,27.92,Americano,5/24/2024,15:08.3
card,27.92,Americano,5/24/2024,16:13.0
card,37.72,Hot Chocolate,5/24/2024,07:19.8
card,27.92,Cortado,5/24/2024,17:40.3
card,27.92,Cortado,5/24/2024,18:36.7
card,32.82,Americano with Milk,5/24/2024,30:40.2
card,37.72,Latte,5/25/2024,13:53.4
card,32.82,Americano with Milk,5/25/2024,42:10.3
card,32.82,Americano with Milk,5/25/2024,43:13.3
card,32.82,Americano with Milk,5/25/2024,58:12.0
card,32.82,Americano with Milk,5/25/2024,47:09.6
card,27.92,Americano,5/25/2024,48:16.8
card,37.72,Latte,5/26/2024,20:02.2
card,32.82,Americano with Milk,5/26/2024,24:49.8
card,27.92,Cortado,5/26/2024,26:05.2
card,32.82,Americano with Milk,5/26/2024,40:58.9
card,37.72,Cappuccino,5/26/2024,19:15.5
card,37.72,Hot Chocolate,5/26/2024,09:52.8
card,37.72,Hot Chocolate,5/26/2024,11:02.2
card,27.92,Americano,5/26/2024,13:14.3
card,37.72,Latte,5/26/2024,39:18.8
card,37.72,Hot Chocolate,5/26/2024,59:15.0
card,37.72,Cappuccino,5/26/2024,00:05.6
card,27.92,Cortado,5/26/2024,02:36.9
card,37.72,Cappuccino,5/26/2024,03:51.8
card,37.72,Latte,5/26/2024,04:58.8
card,37.72,Cappuccino,5/26/2024,06:02.6
card,27.92,Americano,5/27/2024,34:55.3
card,32.82,Americano with Milk,5/27/2024,05:21.7
card,37.72,Cocoa,5/27/2024,06:43.6
card,27.92,Americano,5/27/2024,11:34.1
card,27.92,Americano,5/27/2024,14:05.8
card,37.72,Latte,5/27/2024,50:55.8
card,27.92,Americano,5/27/2024,00:51.0
card,37.72,Latte,5/27/2024,16:27.4
card,37.72,Latte,5/27/2024,17:38.7
card,32.82,Americano with Milk,5/27/2024,29:07.1
card,37.72,Cappuccino,5/27/2024,30:19.8
card,32.82,Americano with Milk,5/28/2024,37:09.0
card,32.82,Americano with Milk,5/28/2024,20:10.7
card,37.72,Cappuccino,5/28/2024,48:18.5
card,37.72,Cappuccino,5/28/2024,14:40.4
card,37.72,Cocoa,5/28/2024,10:53.7
card,27.92,Cortado,5/28/2024,25:39.3
card,27.92,Americano,5/28/2024,09:29.1
card,37.72,Latte,5/28/2024,10:31.1
card,32.82,Americano with Milk,5/28/2024,24:32.2
card,27.92,Americano,5/28/2024,50:19.4
card,37.72,Latte,5/29/2024,14:43.7
card,37.72,Hot Chocolate,5/29/2024,14:02.9
card,27.92,Americano,5/29/2024,10:48.5
card,37.72,Latte,5/29/2024,22:56.3
card,37.72,Cappuccino,5/29/2024,45:12.7
card,37.72,Latte,5/29/2024,45:04.0
card,27.92,Cortado,5/29/2024,24:03.3
card,37.72,Latte,5/29/2024,24:59.3
card,37.72,Hot Chocolate,5/29/2024,30:42.2
card,37.72,Cocoa,5/29/2024,32:35.2
card,37.72,Cappuccino,5/30/2024,29:06.3
